02-01,0.55,0.47,0.45,0.53
02-04,0.45,0.55,0.47,0.53
02-05,0.55,0.47,0.53,0.45
02-07,0.55,0.53,0.47,0.45
02-08,0.53,0.47,0.45,0.55
02-09,0.53,0.45,0.55,0.47
02-13,0.47,0.53,0.55,0.45
02-14,0.45,0.53,0.55,0.47
02-17,0.45,0.55,0.47,0.53
02-18,0.45,0.55,0.47,0.53
03-02,0.55,0.65,0.45,0.35
03-05,0.35,0.45,0.65,0.55
03-06,0.65,0.35,0.45,0.55
03-09,0.65,0.45,0.35,0.55
03-11,0.45,0.35,0.55,0.65
03-13,0.55,0.65,0.35,0.45
03-14,0.65,0.35,0.45,0.55
03-16,0.55,0.35,0.45,0.65
03-18,0.45,0.65,0.35,0.55
03-19,0.35,0.65,0.45,0.55
04-03,0.65,0.55,0.35,0.45
04-04,0.65,0.45,0.35,0.55
04-07,0.55,0.65,0.35,0.45
04-08,0.55,0.35,0.45,0.65
04-10,0.45,0.65,0.35,0.55
04-12,0.45,0.35,0.55,0.65
04-14,0.45,0.55,0.65,0.35
04-15,0.65,0.35,0.55,0.45
04-17,0.55,0.35,0.65,0.45
04-19,0.45,0.35,0.65,0.55
05-02,0.55,0.35,0.65,0.45
05-03,0.55,0.45,0.35,0.65
05-05,0.45,0.65,0.35,0.55
05-08,0.35,0.45,0.65,0.55
05-09,0.45,0.55,0.35,0.65
05-11,0.25,0.4,0.6,0.75
05-13,0.6,0.25,0.4,0.75
05-15,0.6,0.4,0.75,0.25
05-18,0.6,0.25,0.75,0.4
05-20,0.4,0.25,0.6,0.75
06-03,0.25,0.4,0.75,0.6
06-04,0.4,0.6,0.25,0.75
06-06,0.25,0.4,0.75,0.6
06-07,0.75,0.25,0.4,0.6
06-09,0.25,0.6,0.4,0.75
06-10,0.25,0.4,0.75,0.6
06-12,0.75,0.6,0.25,0.4
06-14,0.25,0.6,0.4,0.75
06-15,0.4,0.6,0.75,0.25
06-17,0.6,0.75,0.4,0.25
06-18,0.35,0.85,0.2,0.6
07-03,0.85,0.2,0.6,0.35
07-05,0.85,0.2,0.35,0.6
07-07,0.85,0.6,0.2,0.35
07-10,0.85,0.35,0.2,0.6
07-13,0.35,0.6,0.2,0.85
07-15,0.6,0.2,0.85,0.35
